Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Brannel	Браннел	Браннел	нет	гуманоид, анимация=THIEF_MALE_HUMAN_LOW - 21248	shthdr01.CRE
Branwen	Бранвен	Бранвен	нет	гуманоид, анимация=женщина-клерик	branwe.CRE
Brathlen	Братлен	Братлен	нет	гуманоид, анимация=мужчина-клерик	brathl.CRE
Bregg	Брегг	Брегг	нет	гуманоид, анимация=мужчина-дварф-вор	bregg.CRE
Brelm	Брелм	Врелм	да	гуманоид, анимация=мужчина-дварф-боец	brelm.CRE
Brendan	Брендан	Брендан	нет	гуманоид, анимация=мужчина-маг	brenda.CRE
Brennan Risling	Бреннан Ризлинг	Бреннан Ризлинг	нет	гуманоид, анимация=крестьянин	brenna.CRE
Brevlik	Бревлик	Бревлик	нет	гуманоид, анимация=мужчина-дварф-вор	brevli.CRE
Brielbara	Брильбара	Брайлбара	да	гуманоид, анимация=женщина-маг	brielb.CRE
Brilla	Брилла	Брилла	нет	гуманоид, анимация=дворянка	brilla.CRE
Britik	Бритик	Бритик	нет	гуманоид, анимация=гнолл	britik.CRE
Brother Alden	Брат Алден	(-)	да	(-)	(-)
Brother Canidez	Брат Канидез	(-)	да	(-)	(-)
Brother Entris	Брат Энтрис	(-)	да	(-)	(-)
Brother Eviane	Брат Эвайн	(-)	да	(-)	(-)
Brother Haunnas	Брат Хауннас	(-)	да	(-)	(-)
Brother Masoj	Брат Масой	(-)	да	(-)	(-)
Brother Pol	Брат Пол	Брат Пол	нет	гуманоид, анимация=мужчина-маг	shupol01.CRE
Brother Thael	Брат Таэль	(-)	да	(-)	(-)
Brown Bear	Бурый медведь	Бурый медведь	нет	животное, анимация=бурый медведь	bearbr.CRE
Brown Dragon	Коричневый Дракон	Коричневый Дракон	нет	монстр, анимация=коричневый дракон	dragbrow.CRE
Bruenor	Бренор	Бренор	нет	гуманоид, анимация=FIGHTER_MALE_DWARF_LOW - 2738	bruenor.CRE
Bruenor Battlehammer	Бренор Боевой Молот	(-)	да	гном, друг Дриззта	(-)
Brun	Брун	(-)	да	(-)	(-)
Brunos	Брунос	Брунос	нет	гуманоид, анимация=мужчина-боец	brunos.CRE
Brunson	Брансон	Брансон	нет	гуманоид, анимация=мужчина-боец	plfarm04.CRE
Brus	Брюс	Брюс	нет	гуманоид, анимация=мальчик	brus.CRE
Bub Snikt	Боб Сникт	Боб Сникт	нет	гуманоид, анимация=мужчина-боец	bub.CRE
Bubbles	Пышечка	Пузыри	да	гуманоид, анимация=куртизанка	bubbles.CRE
Bullrush	Буллраш	Буллраш	нет	гуманоид, анимация=хобгоблин	bullrush.CRE
Bunkin	Банкин	Банкин	нет	гуманоид, анимация=женщина-полуорк-боец	bunkin.CRE
Burning Man	Горящий Человек	Горящий Человек	нет	гуманоид-гигант, анимация=BURNING_MAN - 2946	golbur01.CRE
Burt Wunderkind	Бурт Вундеркинд	(-)	да	из историй Яна Янсена	(-)
Butler	Дворецкий	Дворецкий	нет	гуманоид, анимация=крестьянин	mtbe10.CRE
Bylanna	Биланна	Биланна	нет	гуманоид, анимация=женщина-клерик	bylanna.CRE
Bylanna Ianulin	Биланна Ланулин	(-)	да	ошибка в оригинале: правильно Lanulin (судья)	(-)
Bylanna Lanulin	Биланна Ланулин	Биланна Ланулин, Янулин	да	судья, член Совета Шести	(-)
Bystander	Свидетель	Свидетель	нет	гуманоид, анимация=крестьянин	gorf02.CRE
Cadderly	Каддерли	Каддерли	нет	гуманоид, анимация=мужчина-клерик	cadder.CRE
Caedmon	Каэдмон	Каэдмон	нет	гуманоид, анимация=мужчина-клерик	caedmo.CRE
Caehan	Кэйхин	Кэйхин	нет	гуманоид, анимация=мужчина-боец	caehan.CRE
Calahan	Калахан	Кэлаган	да	гуманоид, анимация=мужчина-вор	bgcalaha.CRE
Calbor	Кальбор	Калбор	да	гуманоид, анимация=толстяк	binnkeep.CRE
Caldo	Кальдо	Калдо - Кальдо	да	гуманоид, анимация=мужчина-боец	caldo.CRE
Cambion	Камбион	Камбион	нет	гуманоид-гигант, анимация=рыцарь смерти	cambion1.CRE
Camitis	Камитис	Камитис	нет	гуманоид, анимация=мужчина-дварф-боец	camitis.CRE
Canderous	Кандерос	Кандероз	да	гуманоид, анимация=мужчина-клерик	cander.CRE
Cania	Кания	Кания	нет	гуманоид, анимация=SIRINE - 8192	idryad02.CRE
Canticle	Кантикль	Кантикль	нет	гуманоид, анимация=раб	cantic.CRE
Captain	Капитан	Капитан	нет	гуманоид, анимация=WEREWOLF_GREATER - 32257	firamb01.CRE
Captain Aduo'on	Капитан Эйдуо'он	Капитан Эйдуо'он	нет	гуманоид, анимация=эльф-боец	suelf12.CRE
Captain Alyittyl	Капитан Алийттил	Капитан Алийттил	нет	гуманоид, анимация=сахуагин	sahcapt0.CRE
Captain Arat	Капитан Арат	Капитан Арат	нет	гуманоид, анимация=мужчина-боец	kpcapt01.CRE
Captain Cernick	Капитан Керник	Капитан Керник	нет	гуманоид, анимация=мужчина-боец	kpcapt02.CRE
Captain Dennis	Капитан Деннис	Капитан Деннис	нет	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	loutcapt.CRE
Captain Egeissag	Капитан Эгейссаг	Капитан Эгиссаг	да	гуманоид, анимация=эльф-боец	sengua03.CRE
Captain Erelon	Капитан Эрелон	Капитан Эрелон	нет	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	amarch01.CRE
Captain Feerlattiys	Капитан Фиирлаттийс	Капитан Фиирлаттийс	нет	гуманоид, анимация=сахуагин	sahcpt02.CRE
Captain Haegan	Капитан Хейган	Капитан Хаеган	да	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	haegan.CRE
Captain Samand	Капитан Саманд	Капитан Саманд	нет	гуманоид, анимация=мужчина-боец	sarcpt01.CRE
Captain Tollar Kieres	Капитан Толлар Кирс	Капитан Толяр Киерес	да	гуманоид, анимация=мужчина-боец	kieres.CRE
Captn' Bob Holmes	Кэп Боб Холмс	Капита Боб Холмс	да	гуманоид, анимация=нищий мужчина	pirbob01.CRE
Caravan Driver	Проводник каравана	Проводник каравана	нет	гуманоид, анимация=мужчина-боец	trcar03.CRE
Caravan Merchant	Караванный купец	Караванный купец	нет	гуманоид, анимация=толстяк	trcar04.CRE
Carbos	Карбос	Карбос	нет	гуманоид, анимация=мужчина-боец	bgcarbos.CRE
Carlig	Карлиг	Карлиг	нет	гуманоид, анимация=мужчина-дварф-клерик8	udduer01.CRE
Carmine of the Wheel	Рулеточник Кармин	Кармин Колеса	да	гуманоид, анимация=STATIC_PEASANT_MAN_STOOL - 16641	crogam01.CRE
Carras	Каррас	Каррас	нет	гуманоид, анимация=мужчина-боец	amcarras.CRE
Carrion Crawler	Трупная гусеница	Трупная гусеница	нет	монстр, анимация=трупная гусеница	carcra01.CRE
Carsa	Карса	Карса	нет	гуманоид, анимация=женщина-маг	carsa.CRE
Carston	Карстон	Карстон	нет	гуманоид, анимация=мужчина-боец	carsto.CRE
Carston - Carston	Карстон	Карстон	нет	гуманоид, анимация=мужчина-маг	gorcar.CRE
Casson Belde'ar	Кассон Белд'ар	Кассон Белд'ар	нет	гуманоид, анимация=мальчик	casson.CRE
Cat	Кошка	Кошка	нет	животное, анимация=кошка	cat.CRE
Catis	Катис	Катис	нет	гуманоид, анимация=крестьянин	cebeggar.CRE
Cattack	Каттак	Каттак	нет	гуманоид, анимация=хобгоблин	cattac.CRE
Catti brie	Кэтти Бри	Катти Брай	да	человек, спутница Дриззта	c6catti.CRE
Cattie-brie	Кэтти-Бри	(-)	да	человек, спутница Дриззта	(-)
Caturak	Катурак	Катарак	да	гуманоид, анимация=мужчина-боец	catura.CRE
Cauternus	Каутернус	Каутернус	нет	гуманоид, анимация=крестьянин	cauter.CRE
Cave Bear	Пещерный Медведь	Пещерный Медведь	нет	животное, анимация=пещерный медведь	bearca.CRE
Cayia	Кайя	Кайия	да	гуманоид, анимация=спящая женщина	ppgirl.CRE
Celan Harad	Келан Харад	(-)	да	(-)	(-)
Centeol	Центеол	Центеол	нет	гуманоид, анимация=STATIC_SPIDER_WOMAN - 17152	centeo.CRE
Cerebus	Церебус	Церебус	нет	животное, анимация=DOG_MOON - 29698	moondog.CRE
Cernd	Сернд	Кернд	да	NPC, человек, меняющий форму	cernd10.cre
Cespenar	Цеспенар	Цеспенар	нет	гуманоид, анимация=имп	botsmith.CRE
Chak	Чак	Чак	нет	гуманоид-гигант, анимация=IC_OROG2 - 59152	chak.CRE
Chalinthra	Калинтра	Чалинтра	да	гуманоид, анимация=эльфийка-боец	udchal.CRE
Chan	Чан	Чан	нет	гуманоид-гигант, анимация=элементаль воздуха	elemchan.CRE
Chandrilla	Кандрилла	Чандрилла	да	гуманоид, анимация=эльфийка-клерик	gppri1.CRE
Chanelle the Maid	Служанка Шанель	Служанка Шанель	нет	гуманоид, анимация=крестьянка	kpmaid01.CRE
Chanter	Певец	Певец	нет	гуманоид, анимация=мужчина-маг	chante.CRE
